"plant_number","leaf_sample","species","la","sla","ldmc","ssd","rtd","srl","seed_mass"
41,2,"eute",47.761,20.5866379310345,0.239520958083832,0.347466216216216,20.7560975609756,74.280258519389,0.00138
41,3,"eute",20.213,16.6773927392739,0.257817485641353,0.347466216216216,20.7560975609756,74.280258519389,0.00138
42,1,"eute",65.559,14.5202657807309,0.331424796300374,0.396950549450549,25.3254437869822,52.4654205607477,0.00138
42,2,"eute",45.944,15.1380560131796,0.337222222222222,0.396950549450549,25.3254437869822,52.4654205607477,0.00138
42,3,"eute",76.347,12.900811084826,0.327612931798051,0.396950549450549,25.3254437869822,52.4654205607477,0.00138
43,1,"eute",59.454,14.108685334599,0.326691991627258,0.353651315789474,20.6460674157303,60.0254421768708,0.00138
43,2,"eute",58.949,13.9392291321825,0.283331100093796,0.353651315789474,20.6460674157303,60.0254421768708,0.00138
43,3,"eute",60.116,15.1578416540595,0.313245399257563,0.353651315789474,20.6460674157303,60.0254421768708,0.00138
44,1,"eute",99.246,15.497501561524,0.310106048133262,0.324487951807229,30.8010335917313,33.3954697986577,0.00138
44,2,"eute",108.854,10.6971305031447,0.312367621327931,0.324487951807229,30.8010335917313,33.3954697986577,0.00138
44,3,"eute",73.879,15.5567487892188,0.316283716283716,0.324487951807229,30.8010335917313,33.3954697986577,0.00138
45,1,"eute_dry",49.316,11.6807200378967,0.353275876495691,0.397241379310345,22.5,52.6507507507507,0.00138
45,2,"eute_dry",52.21,13.6639623135305,0.345229490422841,0.397241379310345,22.5,52.6507507507507,0.00138
45,3,"eute_dry",39.807,10.8554676847559,0.320654074851347,0.397241379310345,22.5,52.6507507507507,0.00138
46,1,"eute_dry",34.724,13.1530303030303,0.372407955988151,0.372418136020151,26.7575757575758,46.7674971687429,0.00138
46,2,"eute_dry",33.31,12.9258828094684,0.358514190317195,0.372418136020151,26.7575757575758,46.7674971687429,0.00138
46,3,"eute_dry",28.462,12.8091809180918,0.357005141388175,0.372418136020151,26.7575757575758,46.7674971687429,0.00138
47,1,"eute_dry",40.691,13.5320917858331,0.31759611322349,0.383829787234043,34.0915032679739,26.218213190184,0.00138
47,2,"eute_dry",40.777,14.5788344654987,0.316152368034362,0.383829787234043,34.0915032679739,26.218213190184,0.00138
47,3,"eute_dry",37.98,14.4796035074342,0.314056513409962,0.383829787234043,34.0915032679739,26.218213190184,0.00138
48,1,"eute_dry",56.388,14.6045066045066,0.339936608557845,0.393478260869565,36.5165165165165,31.3633223684211,0.00138
48,2,"eute_dry",43.228,14.1963875205255,0.338785046728972,0.393478260869565,36.5165165165165,31.3633223684211,0.00138
48,3,"eute_dry",21.293,16.6221701795472,0.269684210526316,0.393478260869565,36.5165165165165,31.3633223684211,0.00138
49,1,"losu",81.535,12.8179531520201,0.315666716291995,0.358918367346939,19.527027027027,40.3603229527105,0.00046
49,2,"losu",59.834,11.8342563291139,0.321874204227145,0.358918367346939,19.527027027027,40.3603229527105,0.00046
49,3,"losu",28.586,18.538261997406,0.307784431137725,0.358918367346939,19.527027027027,40.3603229527105,0.00046
50,1,"losu",44.749,13.0806781642795,0.301941747572816,0.354942084942085,31.6941176470588,31.7166295471418,0.00046
50,2,"losu",60.595,15.1677096370463,0.275213557453844,0.354942084942085,31.6941176470588,31.7166295471418,0.00046
50,3,"losu",46.935,13.9355700712589,0.300983020554066,0.354942084942085,31.6941176470588,31.7166295471418,0.00046
51,1,"losu",25.692,14.9198606271777,0.323137549258773,0.367660256410256,26.0261194029851,35.7162724014337,0.00046
51,2,"losu",46.715,12.8267435475014,0.331392174704277,0.367660256410256,26.0261194029851,35.7162724014337,0.00046
51,3,"losu",47.835,11.7588495575221,0.330409356725146,0.367660256410256,26.0261194029851,35.7162724014337,0.00046
52,1,"losu",67.793,17.723660130719,0.275993938956635,0.362592592592593,22.5438596491228,49.1322957198444,0.00046
52,2,"losu",38.228,18.2821616451459,0.300949913644214,0.362592592592593,22.5438596491228,49.1322957198444,0.00046
52,3,"losu",23.165,22.2312859884837,0.262204328132864,0.362592592592593,22.5438596491228,49.1322957198444,0.00046
53,1,"meir",0.167,20.875,0.380952380952381,0.408313253012048,15.6521739130435,118.359444444444,0.0002579
53,2,"meir",0.374,19.6842105263158,0.372549019607843,0.408313253012048,15.6521739130435,118.359444444444,0.0002579
53,3,"meir",0.2,18.1818181818182,0.55,0.408313253012048,15.6521739130435,118.359444444444,0.0002579
54,1,"meir",0.197,13.1333333333333,0.483870967741935,0.347721518987342,13.2871972318339,114.5796875,0.0002579
54,2,"meir",0.11,22,0.384615384615385,0.347721518987342,13.2871972318339,114.5796875,0.0002579
54,3,"meir",0.116,23.2,0.454545454545455,0.347721518987342,13.2871972318339,114.5796875,0.0002579
55,1,"meir",0.179,17.9,0.37037037037037,0.414423076923077,10.1520912547529,77.6097378277153,0.0002579
55,2,"meir",0.166,16.6,0.263157894736842,0.414423076923077,10.1520912547529,77.6097378277153,0.0002579
55,3,"meir",0.109,21.8,0.227272727272727,0.414423076923077,10.1520912547529,77.6097378277153,0.0002579
56,1,"meir",0.257,13.5263157894737,0.404255319148936,0.342727272727273,19.5053003533569,70.2101449275362,0.0002579
56,2,"meir",0.185,16.8181818181818,0.354838709677419,0.342727272727273,19.5053003533569,70.2101449275362,0.0002579
56,3,"meir",0.136,17,0.307692307692308,0.342727272727273,19.5053003533569,70.2101449275362,0.0002579
